lat,long
37.0096,-122.05884
37.00974,-122.05859
37.00995,-122.0583
37.01007,-122.05804
37.0101,-122.05792
37.01014,-122.05787
37.01031,-122.05771
37.0104,-122.05768
37.01043,-122.05765
37.01053,-122.05745
37.01052,-122.05711
37.01066,-122.05651
37.01074,-122.05641
37.01092,-122.05628
37.01112,-122.05635
37.01137,-122.05629
37.0114,-122.05622
